species,high_income_mean,upper_middle_mean,log2_fold_change,p_value,high_prevalence,upper_prevalence,p_adjusted,significant
s__Rathayibacter_caricis,0.00013479550922213313,0.0032494705882352938,4.591359325618155,8.550615242743943e-25,0.0048115477145148355,0.11764705882352941,1.3317624910238618e-24,True
s__Paracoccus_tibetensis,0.3104624699278268,0.005011588235294117,-5.953007157028328,3.0019651188327684e-24,0.019246190858059342,0.18235294117647058,4.6664788520377085e-24,True
s__GGB43468_SGB60787,0.0005532638331996792,0.00856064705882353,3.951680080186469,5.34379776117631e-24,0.008821170809943865,0.13529411764705881,8.290668759572567e-24,True
s__Lactobacillus_crispatus,0.42460877305533284,0.06580023529411763,-2.6899695299511435,1.1639919822747765e-23,0.07217321571772253,0.3411764705882353,1.8023829337936948e-23,True
s__Microbacterium_sp_K41,0.0011891259021651961,0.014173882352941177,3.5752614904755986,1.4390852492573258e-22,0.006415396952686447,0.11764705882352941,2.2240408397613214e-22,True
s__Brevundimonas_vesicularis,0.3185671611868484,0.030740235294117645,-3.3733974401971243,2.445656811760017e-21,0.04731355252606255,0.2529411764705882,3.772354811961879e-21,True
s__Psychrobacter_faecalis,1.6192582518043304,1.816463294117647,0.16579911688473098,6.5645649777309496e-21,0.297514033680834,0.5882352941176471,1.0106141458973081e-20,True
s__GGB44392_SGB61810,0.00016772253408179632,0.005172411764705883,4.946687859403118,7.646811943001622e-21,0.015236567762630313,0.14705882352941177,1.1749620658573647e-20,True
s__GGB24392_SGB36231,3.0408981555733764e-05,0.00358064705882353,6.879574307207012,7.982236992237916e-21,0.00801924619085806,0.11764705882352941,1.2241472853739145e-20,True
s__Psychrobacter_alimentarius,0.10291272654370488,0.028577529411764706,-1.8484682953953566,8.180099012191907e-21,0.052125100240577385,0.25882352941176473,1.2520879522492975e-20,True
s__Psychrobacter_sanguinis,0.4370683560545309,0.02744347058823529,-3.9933240792618196,8.538626895021893e-21,0.07137129109863673,0.3058823529411765,1.3044670916104192e-20,True
s__Leuconostoc_citreum,0.006874161988773055,0.003449352941176471,-0.9948580738790306,1.7114154599734436e-20,0.00801924619085806,0.11764705882352941,2.6095819704556897e-20,True
s__Staphylococcus_gallinarum,0.21983799518845226,0.0038230588235294116,-5.845569506988687,1.845004844624512e-20,0.00801924619085806,0.11764705882352941,2.8079216587714e-20,True
s__Sphingomonas_corticis,0.000860898155573376,0.0008921764705882353,0.05148651787411228,1.367788960032825e-19,0.008821170809943865,0.11764705882352941,2.0776870324452989e-19,True
s__Bacillus_altitudinis,0.015194819566960706,0.02628258823529412,0.790527807721461,1.6902093724714968e-19,0.006415396952686447,0.10588235294117647,2.562575500198721e-19,True
