sample_alias,Richness,Shannon,Simpson,income_group,study_code
Brinch_2020_sewage_copenhagen.sample_DTU2017-1297-PRJ1066-CPH-Sewage-35,375,4.136774414094137,0.9510795113848685,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1298-PRJ1066-CPH-Sewage-36,371,3.785279778022961,0.9315392607002643,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1299-PRJ1066-CPH-Sewage-37,385,4.00707868686492,0.9381564072173464,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1300-PRJ1066-CPH-Sewage-38,386,3.6943326673055283,0.9282892783573098,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1301-PRJ1066-CPH-Sewage-39,394,3.9607177534483196,0.944034008634202,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1302-PRJ1066-CPH-Sewage-40,343,3.9701107018720863,0.9426241959203451,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1303-PRJ1066-CPH-Sewage-41,382,4.20291263202764,0.9581529095426817,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-1304-PRJ1066-CPH-Sewage-42,331,3.6878244689119732,0.9211169846226407,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-188-PRJ1066-RL-Sewage-177_S1_L001,179,3.3799015919046846,0.9348089319804173,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-189-PRJ1066-RL-Sewage-181_S2_L001,221,3.8740368323743173,0.9511060897069546,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-190-PRJ1066-RL-Sewage-190_S3_L001,248,4.00881257872245,0.9613467760448803,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-191-PRJ1066-RD-Sewage-191_S4_L001,233,3.9408967274569866,0.9595397908508984,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-192-PRJ1066-RL-Sewage-192_S5_L001,234,3.66583817886704,0.9448464194631511,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-193-PRJ1066-RD-Sewage-193_S6_L001,168,3.290190957176997,0.9067411923352378,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-195-PRJ1066-RL-Sewage-194_S2_L001,194,3.7499769408921004,0.9495872976056093,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-196-PRJ1066-RD-Sewage-195_S3_L001,189,3.67855156056204,0.9423119188942101,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-197-PRJ1066-RA-Sewage-196_S4_L001,79,2.5282146059203288,0.783589793000294,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-198-PRJ1066-RA-Sewage-197_S5_L001,113,2.8601694280056287,0.8185263523584089,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-199-PRJ1066-RD-Sewage-198_S6_L001,131,2.9241164310567793,0.833292226831875,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-20-PRJ1066-RL-Sewage-178_S1_L001,215,3.6642246876853024,0.945860342867584,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-200-PRJ1066-RL-Sewage-199_S7_L001,123,2.889062084282667,0.8542946650336528,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-21-PRJ1066-RA-Sewage-179_S2_L001,181,3.4338721987499063,0.9172136148763352,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-22-PRJ1066-RD-Sewage-180_S3_L001,267,3.9168220042520683,0.9477733307063829,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-23-PRJ1066-RL-Sewage-181_S4_L001,7,1.0823281838491556,0.48506127550551026,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-24-PRJ1066-RD-Sewage-182_S5_L001,258,3.919086052879136,0.9512916761189011,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-25-PRJ1066-RA-Sewage-183_S6_L001,220,3.8160705023903176,0.9494549863734671,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-26-PRJ1066-RD-Sewage-184_S1_L001,179,3.761213597429358,0.9512882898213114,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-27-PRJ1066-RL-Sewage-185_S2_L001,180,3.5269281163766655,0.9400836572627449,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-28-PRJ1066-RD-Sewage-186_S3_L001,199,3.719523339141934,0.9458505367418675,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-289-PRJ1066-RD-Sewage-200_S1_L001,155,3.6453914177288045,0.9396636547815291,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-29-PRJ1066-RL-Sewage-187_S4_L001,150,3.629805341052802,0.9508580660672077,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-290-PRJ1066-RL-Sewage-201_S2_L001,256,3.987824542759134,0.957558266907339,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-291-PRJ1066-RD-Sewage-202_S3_L001,214,4.036064037847109,0.9599449227120629,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-292-PRJ1066-RD-Sewage-203_S4_L001,196,3.79014779950447,0.9480255371788351,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-293-PRJ1066-RL-Sewage-204_S5_L001,165,3.5738738324937236,0.9406571518639287,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-294-PRJ1066-RD-Sewage-205_S6_L001,260,3.713540607422706,0.9300247621355726,High-income,Brinch_2020_sewage_copenhagen
Brinch_2020_sewage_copenhagen.sample_DTU2017-296-PRJ1066-RA-Sewage-207_S2_L001,189,3.6899024854305122,0.9430120032729677,High-income,Brinch_2020_sewage_copenhagen
